VILLE	LATITUDE	LONGITUDE
AMIENS	49.9	2.3
BELFORT	47.633333	6.866667
BESANCON	47.25	6.033333
BORDEAUX	44.833333	-0.566667
CAEN	49.183333	-0.35
CHARLEVILLE MEZIERES	49.766667	4.716667
COLMAR	48.083333	7.366667
FOIX	42.966667	1.6
GRENOBLE	45.166667	5.716667
LA ROCHELLE	46.166667	-1.15
LILLE	50.633333	3.066667
LYON	45.75	4.85
MARSEILLE	43.3	5.4
METZ	49.133333	6.166667
MONTPELLIER	43.6	3.883333
NANTES	47.216667	-1.55
NICE	43.7	7.25
PARIS	48.866667	2.333333
PAU	43.3	-0.366667
PERPIGNAN	42.683333	2.883333
QUIMPER	48	-4.1
RENNES	48.083333	-1.683333
ROUEN	49.433333	1.083333
SAINT BRIEUC	48.516667	-2.783333
SAINT LO	49.116667	-1.083333
STRASBOURG	48.583333	7.75
TARBES	43.233333	0.083333
TOULON	43.116667	5.933333
TOULOUSE	43.6	1.433333